Title,Genre,Director,Actors
moondru mudichu,romance,k. balachander,"kamal haasan, rajinikanth, sridevi, vijaya y."
moondru mugham,"action, drama",a. jagannathan,"rajinikanth, radhika sarathkumar, silk smitha, delhi ganesh"
mouna guru,"action, thriller",santha kumar,"arulnithi, iniya, john vijay, uma riyaz khan"
mouna ragam,"drama, romance",mani ratnam,"karthik, mohan, v.k. ramasamy, revathi"
mounam pesiyadhe,"drama, romance",ameer sultan,"suriya, trisha krishnan, nandha, anju mahendran"
mozhi,"comedy, musical, romance",radha mohan,"prithviraj sukumaran, jyotika, prakash raj, swarnamalya"
mr. bharath,drama,s.p. muthuraman,"ambika, goundamani, raghuvaran, rajinikanth"
ms dhoni untold story,inspiration,neeraj pandey,"sushant rajput singh, kiara advani, disha patani, anupam kher"
mudhalvan,"action, drama, thriller",s. shankar,"arjun sarja, manisha koirala, raghuvaran, vadivelu"
mugavari,"drama, romance",v.z. dhorai,"suchindra bali, jyotika, ajith kumar, manivannan"
mullum malarum,drama,j. mahendran,"sarath babu, jayalakshmi, shubha, venniradai moorthy"
mundaasupatti,"comedy, drama, romance",ram kumar,"vishnu vishal, nandita shwetha, anand raj, kaali venkat"
munthanai mudichu,drama,bhagyaraj,"unni mary, thavakalai, urvashi"
murattu kaalai,"action, drama",s.p. muthuraman,"rajinikanth, rati agnihotri, sumalatha, jaishankar"
muthal mariyathai,drama,bharathiraja,"shivaji ganesan, radha, renjini, sathyaraj"
muthina kathirika,"comedy, drama",venkat raghavan,"yogi babu, poonam bajwa, sundar c., vtv ganesh"
muthu,"action, comedy, drama",k.s. ravikumar,"rajinikanth, meena, sarath babu, senthil"
my dear marthandan,"drama, romance",prathap pothen,"goundamani, prabhu, r.s. shivaji"
mynaa,"action, romance",prabu solomon,"vidharth, amala paul, thambi ramaiah, sethu"
naadodigal,"action, comedy, drama",samuthirakani,"m. sasikumar, vijay vasanth, bharani, ananya"
naan avanillai,"crime, drama, thriller",selva,"'university' jeevan, sneha, namitha, malavikka"
naan kadavul,"action, drama",bala,"arya, pooja umashankar, motta rajendran, krishnamoorthy"
naan mahaan alla,"action, crime, drama",suseenthiran,"karthi, kajal aggarwal, v. jayaprakash, krishna priya"
naan sigappu manithan,"action, drama, thriller",thiru,"vishal, lakshmi menon, iniya, saranya ponvannan"
naanum rowdydhaan,"action, comedy, romance",vignesh shivan,"vijay sethupathi, nayanthara, parthiban, radhika sarathkumar"
nadigan,"comedy, romance",p. vasu,"sathyaraj, kushboo, goundamani, aachi manorama"
naduvula konjam pakkatha kaanom,"comedy, drama",balaji tharaneetharan,"vijay sethupathi, gayathrie, bagavathi perumal, rajkumar"
naiyaandi,"comedy, romance",a. sarkunam,"dhanush, nazriya nazim, vamsi krishna, sathyan"
nallavanukku nallavan,"drama, romance",s.p. muthuraman,"rajinikanth, radhika sarathkumar, karthik, tulasi"
nammavar,drama,k.s. sethumadhavan,"kamal haasan, gautami, nagesh, karan"
nanban,"comedy, drama",s. shankar,"joseph vijay, jiiva, srikanth, ileana d'cruz"
nandha,"action, drama",bala,"suriya, laila, raj kiran, rajashri"
nattamai,"action, drama",k.s. ravikumar,"goundamani, sarath kumar, kushboo, meena"
naveenasaras,comedy,rajaji,"nivetha thomas, jai"
nayakan,"crime, drama",mani ratnam,"kamal haasan, saranya ponvannan, delhi ganesh, janakaraj"
neer paravai,drama,seenu ramasamy,"vishnu vishal, sunaina, nandita das, samuthirakani"
nenjathai killathe,"drama, romance",j. mahendran,"suhasini, sarath babu, mohan, prathap pothen"
nerkonda paarvai,"action, drama, thriller",h. vinoth,"ajith kumar, vidya balan, rangaraj pandey, shraddha srinath"
nerukku ner,"action, drama, romance",vasanth,"joseph vijay, suriya, kousalya, simran"
netri kann,drama,s.p. muthuraman,"rajinikanth, monica, sarath babu, goundamani"
ngk,"action, drama",k. selvaraghavan,"suriya, sai pallavi, rakul preet singh, ponvannan"
nimirndhu nil,"action, drama",samuthirakani,"jayam ravi, sarath kumar, amala paul, ragini dwivedi"
ninaithale inikkum,"musical, romance",k. balachander,"kamal haasan, jaya prada, rajinikanth, sarath babu"
nizhalgal,"adventure, drama",bharathiraja,"chandrashekhar, chandrashekhar, raadhu, nizhalgal ravi"
nooravathu naal,"crime, mystery, thriller",manivannan,"mohan, nalini, sathyaraj, vijayakanth"
onaayum aattukkuttiyum,"action, crime, thriller",myshkin,"myshkin, sri, adithya menon, bharath"
oomai vizhigal,"action, crime, mystery",r. aravindraj,"c. arunpandian, chandrasekhar, ilavarasi, jaishankar"
oru kidayin karunai manu,drama,suresh sangaiah,"raveena ravi, vidharth"
oru naal koothu,"comedy, drama",nelson venkatesan,"dinesh, nivetha pethuraj, mia george, riythvika"
paayum puli,action,s.p. muthuraman,"rajinikanth, radha, aachi manorama, silk smitha"
padayappa,"action, comedy, drama",k.s. ravikumar,"shivaji ganesan, rajinikanth, ramya krishnan, soundarya"
pammal k. sambandam,"comedy, musical",mouli,"kamal haasan, simran, abbas, sneha"
panchatanthiram,"comedy, drama",k.s. ravikumar,"kamal haasan, simran, ramya krishnan, ramesh aravind"
pannaiyarum padminiyum,"comedy, drama",s.u. arun kumar,"vijay sethupathi, v. jayaprakash, tulasi, aishwarya rajesh"
papanasam,"drama, thriller",jeethu joseph,"papanasam, nivetha thomas, esther anil"
paradesi,"drama, history",bala,"atharvaa murali, vedika, dhansika, jerry"
paramasivan,"action, thriller",p. vasu,"ajith kumar, laila, jayaram, prakash raj"
parattai engira azhagu sundaram,action,suresh krishna,"archana, dhanush, meera jasmine, nassar"
paruthiveeran,"action, drama, romance",ameer sultan,"karthi, priyamani, saravanan, ponvannan"
pasanga,"drama, family",pandiraj,"vimal, vega tamotia, kishore kumar g., sri ram"
pasanga 2,"drama, family",pandiraj,"suriya, amala paul, nishesh, baby vaishnavi"
pathinaru vayathinile,"drama, romance",bharathiraja,"kamal haasan, sridevi, rajinikanth, gandhimathi"
pattas,"action, drama",r.s. durai senthilkumar,"dhanush, sneha, mehreen pirzada, naveen chandra"
peraanmai,"action, adventure, drama",s.p. jhananathan,"jayam ravi, saranya nag, vasundhara kashyap, dhansika"
peralagan,"comedy, drama, romance",sasi shankar,"suriya, jyotika, vivek, aachi manorama"
periyanna,"action, drama, romance",s.a. chandrashekhar,"vijayakanth, meena, suriya, aachi manorama"
petta,"action, drama",karthik subbaraj,"rajinikanth, vijay sethupathi, nawazuddin siddiqui, m. sasikumar"
piriyatha varam vendum,"drama, romance",kamal,"prashanth, shalini, jomol, krishna"
pisasu,horror,myshkin,"naga, prayaga martin, radha ravi, raj kumar"
pithamagan,"action, drama",bala,"vikram, suriya, laila, sangeetha"
pizza,"horror, thriller",karthik subbaraj,"vijay sethupathi, ramya nambeeshan, aadukalam naren, karunakaran"
pokkiri,"action, thriller",prabhu deva,"joseph vijay, asin thottumkal, prakash raj, vadivelu"
polladhavan,action,vetrimaaran,"dhanush, ramya, kishore kumar g., karunas"
poo,drama,sasi,"parvathy thiruvothu, aiden grech, alex moore, srikanth"
pooja,"action, drama",hari,"vishal, shruti haasan, sathyaraj, soori"
poove unakkaga,"comedy, drama, romance",vikraman,"anju aravind, madhan bob, charlie, jai ganesh"
poovellaam kettuppaar,"comedy, romance",vasanth,"suriya, jyotika, vijayakumar, nassar"
poovellam un vaasam,drama,ezhil,"ajith kumar, jyotika, nagesh, sivakumar"
poriyaalan,"drama, thriller",thanukumar,"anandhi, delhi ganesh, harish kalyan, achuta kumar"
porkkalam,"comedy, romance",cheran,"ilavarasu, manivannan, meena, s.d. murali"
power paandi,"action, drama, family",dhanush,"dhanush, dheena, divyadarshini, delhi ganesh"
priyamanavale,"drama, romance",k. selvabharathi,"joseph vijay, radhika chaudhari, s.p. balasubrahmanyam, bhuvaneswari"
pudhiya geethai,"action, drama",jagan,"joseph vijay, meera jasmine, ameesha patel, kalabhavan mani"
pudhiya mannargal,drama,vikraman,"mohini, vikram"
pudhiya mugam,"action, drama, thriller",suresh chandra menon,"kasthuri, suresh chandra menon, nirmala, revathi"
pudhu pettai,"action, crime, drama",k. selvaraghavan,"dhanush, sneha, sonia agarwal, azhagam perumal"
pulan visaaranai,"action, crime, thriller",r.k. selvamani,"vijayakanth, roobini, m.n. nambiar, radha ravi"
puli,"action, adventure, fantasy",chimbudeven,"joseph vijay, sridevi, sudeep, prabhu"
pulimurugan,action,vysakh,"mohanlal, jagapathi babu, kamalinee mukherjee, lal"
punnagai mannan,"comedy, drama, romance",k. balachander,"kamal haasan, revathi, rekha, srividya"
puriyaatha puthir,thriller,ranjit jeyakodi,"vijay sethupathi, gayathrie, mahima nambiar, ramesh thilak"
pushpaka vimana,"comedy, romance",singeetam srinivasa rao,"kamal haasan, amala akkineni, tinnu anand, narayana p.l."
puthukkottaielerenthu saravanan,"action, adventure, romance",s.s. stanley,"dhanush, peter hein, karunas, mayoori"
ra one,family,anubav sinha,"kareena kapoor, shah rukh khan"
raaja paarvai,"drama, romance",singeetam srinivasa rao,"kamal haasan, madhavi, y.g. mahendran, l.v. prasad"
raam,"action, drama, mystery",ameer sultan,"jiiva, saranya ponvannan, gajala, rahman"
raanjhanaa,"drama, romance",aanand l. rai,"dhanush, sonam kapoor, mohammed zeeshan ayyub, swara bhaskar"
raavanan,"action, adventure, drama",mani ratnam,"vikram, aishwarya rai bachchan, prithviraj sukumaran, priyamani"
rab ne bana di jodi,dance,aditya chopra,"shah rukh khan, anushka sharma"
radiopetti,drama,hari viswanath,"nivas adithan, lakshmanan koratur, shobana mohan, ramanujam tvv"
raja,romance,ezhil,"ajith kumar, jyotika, priyanka upendra, vadivelu"
raja manthiri,"comedy, drama",usha krishnan,"anandhi, gajaraj, nadodigal gopal, kalaiyarasan"
raja rani,"comedy, drama, romance",atlee kumar,"arya, nayanthara, jai, nazriya nazim"
rajapattai,"action, comedy",suseenthiran,"vikram, deeksha seth, k. viswanath, pradeep singh rawat"
rajini murugan,"action, comedy",ponram,"sivakarthikeyan, raj kiran, keerthy suresh, soori"
rakhta charitra 2,"action, biography, crime",ram gopal varma,"shatrughan sinha, vivek oberoi, suriya, sudeep"
ramana,"action, drama",a.r. murugadoss,"vijayakanth, simran, ashima bhalla, yugi sethu"
rangoon,"action, crime, drama",rajkumar periasamy,"gautham karthik, lallu, sana makbul, prashant nair"
ratchakan,"action, romance",praveenkanth,"nagarjuna akkineni, sushmita sen, girish karnad, s.p. balasubrahmanyam"
ratsasan,"action, crime, thriller",ram kumar,"vishnu vishal, radha ravi, sangili murugan, nizhalgal ravi"
red,"action, drama",singampuli,"ajith kumar, priya gill, joy badlani, rajan p. dev"
rekka,action,rathina shiva,"kishore kumar g., sathish krishnan, lakshmi menon, lian nasser"
remo,"comedy, romance",bakkiyaraj kannan,"yogi babu, sri divya, kalyani n., aadukalam naren"
revelations,drama,vijay jayapal,"arpita banerjee, lakshmi priyaa chandramouli, chetan, aanantharaman karthik"
rhythm,"drama, musical, romance",vasanth,"ramesh aravind, joy badlani, jyotika, lakshmi"
roja,"drama, romance, thriller",mani ratnam,"arvind swamy, madhoo, pankaj kapur, nassar"
rudhramadevi,"action, biography, history",gunasekhar,"anushka shetty, allu arjun, rana daggubati, vikramjeet virk"
rum,horror,sai bharath,"arjun chidambaram, mia george, hrishikesh, amzath khan"
saadu,musical,p. vasu,"arjun sarja, raveena tandon"
saagar,"drama, romance",ramesh sippy,"rishi kapoor, kamal haasan, dimple kapadia, nadira"
saala khadoos,"action, drama, sport",sudha kongara,"madhavan, nassar, radha ravi, kaali venkat"
saamy,"action, drama",hari,"vikram, trisha krishnan, srinivasa rao kota, vivek"
saamy 2,action,hari,"vikram, keerthy suresh, aishwarya rajesh, prabhu"
sachein,"comedy, drama, romance",john mahendran,"joseph vijay, genelia d'souza, bipasha basu, vadivelu"
sadma,romance,balu mahendra,"kamal haasan, sridevi, gulshan grover, silk smitha"
sagara sangamam,"musical, romance, drama",k. viswanath,"kamal haasan, jaya prada, sarath babu, sailaja s.p."
salim,"action, thriller",n.v. nirmal kumar,"vijay antony, aksha pardasany, r.n.r. manohar, p.v. chandramouli"
samsaram athu minsaram,drama,visu,"chandrasekhar, dilip, delhi ganesh, ilavarasi"
samurai,"action, drama, musical",balaji sakthivel,"vikram, jayaseel, nassar, vadivukkarasi"
sandhippoma,"drama, romance",indrakumar,"ambika, sarath babu, prakash raj, radhika sarathkumar"
sangamam,"drama, music",suresh krishna,"rahman, vindhya, manivannan, vijayakumar"
sarabham,mystery,arun mohan,"naveen chandra, salony luthra, aadukalam naren, kadhal kannan"
sarkar,"action, drama",a.r. murugadoss,"joseph vijay, keerthy suresh, varalaxmi sarathkumar, pala karuppaiah"
satham podathey,thriller,vasanth,"jagan, nassar, padmapriya, nitin sathya"
sathi leelavathi,"comedy, drama",balu mahendra,"kamal haasan, ramesh aravind, kovai sarala, kalpana"
sathuran,thriller,k. rajeev prasad,"raju easwaran, rajaj, varsha, kaali venkat"
sathuranga vettai,"crime, thriller",h. vinoth,"nataraja subramanian, ishara nair, ponvannan, ilavarasu"
sathyaa,"action, crime, drama",suresh krishna,"kamal haasan, amala akkineni, bahadur, vadivukkarasi"
sethu,"action, drama, romance",bala,"vikram, abitha, sivakumar, sriman"
sethu boomi,"action, drama, romance",kenthiran muniasami,"junior balaiya, cheranraj, thaman kumar, kenthiran muniasami"
sethupathi,"action, thriller",s.u. arun kumar,"vijay sethupathi, ramya nambeeshan, vela ramamoorthy, girrish"
shahjahan,"action, romance",k.s. ravi,"joseph vijay, balaji, banu balasubramaniam, chaplin balu"
shakunthala devi,knowledge,anu menon,"vidya balan, sanya malhotra"
shamitabh,drama,r. balki,"amitabh bachchan, dhanush, akshara haasan, abhinaya"
shree,"action, drama",pushpavasagan,"ilavarasu, kalyani, riyaz khan, shrutika"
sigappu rojakkal,"drama, thriller",bharathiraja,"kamal haasan, sridevi, bhagyaraj, goundamani"
sillunu oru kadhal,"drama, romance",n. krishna,"suriya, jyotika, bhoomika chawla, shriya sharma"
singaaravelan,comedy,r.v. udhaya kumar,"kamal haasan, kushboo, goundamani, jaishankar"
singam,"action, thriller",hari,"suriya, anushka shetty, prakash raj, vivek"
singam 2,"action, thriller",hari,"suriya, anushka shetty, hansika motwani, vivek"
singam 3,"action, thriller",hari,"suriya, anushka shetty, shruti haasan, thakur anoop singh"
siva manasula sakthi,"comedy, drama, romance",m. rajesh,"jiiva, anuya bhagwat, santhanam, urvashi"
sivaji,"action, drama, thriller",s. shankar,"rajinikanth, shriya saran, suman, vivek"
sivakaasi,"action, drama",perarasu,"joseph vijay, asin thottumkal, prakash raj, geetha"
sketch,action,vijay chandar,"vikram, tamannaah bhatia, sriman, soori"
sollamale,romance,sasi,"kousalya, livingston, s. sathyendra"
soodhu kavvum,"comedy, crime, thriller",nalan kumarasamy,"vijay sethupathi, sanchita shetty, radha ravi, m.s. bhaskar"
sree raaghavendar,"biography, drama",s.p. muthuraman,"rajinikanth, lakshmi, delhi ganesh, sathyaraj"
subramaniapuram,"action, drama, thriller",m. sasikumar,"jai, m. sasikumar, swathi reddy, 'ganja' karuppu"
sukran,"action, drama",s.a. chandrashekhar,"rajan p. dev, ravi krishna, nalini, anita hassanandani reddy"
sullan,"action, crime, drama",ramana,"dhanush, manivannan, pasupathy, sanghavi"
sundara,"comedy, drama, family",s. prabhakaran,"m. sasikumar, lakshmi menon, vijay sethupathi, appukutty"
sura,action,s.p. rajkumar,"joseph vijay, tamannaah bhatia, vadivelu, dev gill"
suryavamsam,drama,srinivasa rao bhimaneni,"venkatesh daggubati, meena, sanghavi, radhika sarathkumar"
swathi muthyam,"drama, family, romance",k. viswanath,"kamal haasan, radhika sarathkumar, allu arjun, sarath babu"
taj mahal,romance,bharathiraja,"manoj bharatiraaja, riya sen, radhika sarathkumar, revathi"
tamilselvanum thaniyar anjalum,"action, romance, thriller",premsai,"vtv ganesh, yami gautam, jai, prem kumar"
tamiluku en ondrai aluthavum,"comedy, sci-fi, thriller",ramprakash rayappa,"nakhul, dinesh, bindhu madhavi, aishwarya dutta"
taramani,"drama, romance",ram,"anjali, dongli jumbo, andrea jeremiah, venkateshbalaji"
thaanaa serndha koottam,"action, comedy, crime",vignesh shivan,"suriya, keerthy suresh, karthik, ramya krishnan"
thaandavam,"action, thriller",a.l. vijay,"vikram, jagapathi babu, anushka shetty, amy jackson"
thadayara thakka,"action, thriller",magizh thirumeni,"arun vijay, mamta mohandas, rakul preet singh, vamsi krishna"
thalaivaa,"action, drama, thriller",a.l. vijay,"joseph vijay, amala paul, santhanam, sathyaraj"
thalapathi,"action, crime, drama",mani ratnam,"rajinikanth, mammootty, shobana, arvind swamy"
thamizh padam,comedy,c.s. amudhan,"shiva, disha pandey, venniradai moorthy, manobala"
thamizhan,"action, drama",a. majid,"joseph vijay, priyanka chopra, nassar, revathi"
thanga magan,"action, drama, romance",velraj,"dhanush, samantha ruth prabhu, amy jackson, k.s. ravikumar"
thanga meengal,drama,ram,"ram, sadhana, shelly nabu kumar, rohini"
thani oruvan,"action, crime, thriller",mohan raja,"jayam ravi, arvind swamy, nayanthara, nassar"
tharai thappattai,"action, drama, musical",bala,"m. sasikumar, varalaxmi sarathkumar, g.m. kumar, r.k. suresh"
tharkappu,"action, thriller",r.p. ravi,"amita ranganath, vatsan chakravarthy, vaishali deepak, riyaz khan"
thavamai thavamiruntu,drama,cheran,"cheran, raj kiran, padmapriya, saranya ponvannan"
the extraordinary journey of the fakir,"adventure, comedy, drama",ken scott,"dhanush, bérénice bejo, erin moriarty, barkhad abdi"
the hotel mumbai,real life,anthony marad,"anupam kher, dev patel"
the house next door,horror,milind rau,"prakash belawadi, khushi hajare, andrea jeremiah, atul kulkarni"
theeran adhigaaram ondru,"action, crime, thriller",h. vinoth,"karthi, rakul preet singh, abhimanyu singh, bose venkat"
theeviravaathi: the terrorist,drama,santosh sivan,"ayesha dharker, k. krishna, sonu sisupal, vishwas"
thegidi,"crime, mystery, thriller",p. ramesh,"ashok selvan, janani iyer, v. jayaprakash, jayakumar"
thenali,"comedy, drama",k.s. ravikumar,"kamal haasan, jayaram, jyotika, devayani"
theri,"action, drama",atlee kumar,"joseph vijay, samantha ruth prabhu, amy jackson, baby nainika"
thevar magan,drama,bharathan,"kamal haasan, shivaji ganesan, nassar, revathi"
thillu mullu,comedy,k. balachander,"rajinikanth, madhavi, thengai srinivasan, showkar janaki"
thiruda thiruda,"action, crime, drama",mani ratnam,"prashanth, anand, heera rajgopal, anu agrawal"
thiruda thirudi,"comedy, romance",subramaniam siva,"dhanush, chaya singh, karunas, manikya vinayakam"
thirumalai,"action, romance",ramana,"joseph vijay, jyotika, avinash, manoj k. jayan"
thirunaal,"action, drama, romance",ramnath,"jiiva, nayanthara, karunas, meenakshi"
thirupaachi,"action, drama",perarasu,"joseph vijay, trisha krishnan, srinivasa rao kota, manoj k. jayan"
thiruvilaiyaadal aarambam,drama,boopathy pandian,"dhanush, ilavarasu, kannaiyan, karunas"
thiruvilayadal,"drama, family, musical",a.p. nagarajan,"shivaji ganesan, savitri, nagesh, balaiya"
thodari,"action, thriller",prabu solomon,"dhanush, keerthy suresh, ganesh venkatraman, imman annachi"
thoongaavanam,"action, thriller",rajesh m. selva,"kamal haasan, prakash raj, trisha krishnan, kishore kumar g."
thoota,"action, drama, romance",gautham vasudev menon,"dhanush, megha akash, m. sasikumar, senthil veeraasamy"
thulladha manamum thullum,"drama, romance",ezhil,"joseph vijay, simran, dhamu, vaiyapuri"
thulluvadho ilamai,drama,k. selvaraghavan,"abhinay, dhanush, gangeshwari, ramesh khanna"
thuppakki,"action, thriller",a.r. murugadoss,"joseph vijay, kajal aggarwal, vidyut jammwal, sathyan"
tirupathi,"action, drama",perarasu,"ajith kumar, sada, riyaz khan, arun pandyan"
to let,family,chezhian ra,"dharun bala, t. arul ezhilan, mk mani, marudhu mohan"
trisha illana nayanthara,comedy,adhik ravichandran,"g.v. prakash kumar, anandhi, manisha yadav, simran"
tutak tutak tutiya,"comedy, horror",a.l. vijay,"rj balaji, tamannaah bhatia, prabhu deva, karishma gulati"
uchathula shiva,action,jaypee,"ilavarasu, kanal kannan, karan, ramesh khanna"
udhaya,"action, drama, thriller",azhagam perumal,"joseph vijay, simran, pyramid natarajan, sophiya haque"
ullathai allitha,comedy,sundar c.,"goundamani, karthik, rambha"
unakkaga ellam unakkaga,"comedy, romance",sundar c.,"karthik, rambha, goundamani, vinuchakravarthy"
unnai kodu ennai tharuven,romance,kavee kalidas,"ajith kumar, simran, charlie, chinnijayanth"
unnai ninaithu,drama,vikraman,"suriya, laila, sneha, ramesh khanna"
unnai thedi,romance,sundar c.,"ajith kumar, malavikka, sivakumar, srividya"
unnaipol oruvan,"crime, drama, mystery",chakri toleti,"kamal haasan, mohanlal, lakshmi, anuja iyer"
unnal mudiyum thambi,"drama, musical",k. balachander,"kamal haasan, seetha, gemini ganesan, aachi manorama"
uriyadi,"action, thriller",vijay kumar,"vijay kumar, chandru, mime gopi, citizen sivakumar"
urumeen,"action, fantasy, thriller",sakthivel perumalsamy,"bobby simha, kalaiyarasan, reshmi menon, sandra amy"
uthama puthiran,"comedy, romance",mithran jawahar,"dhanush, genelia d'souza, vivek, ashish vidyarthi"
uttama villain,"comedy, drama",ramesh aravind,"kamal haasan, k. balachander, k. viswanath, nassar"
uyire.. uyire..,"drama, romance",a.r. rajasekar,"siddhu, hansika motwani, ajay, aadukalam naren"
vaagai sooda vaa,"comedy, drama, romance",a. sarkunam,"vimal, iniya, bhagyaraj, ponvannan"
vaaimai,drama,a. senthil kumar,"shanthnu bhagyaraj, manoj k. bharathi, muktha george, goundamani"
vaalee,"romance, thriller",s.j. suryah,"ajith kumar, simran, jyotika, vivek"
vaalu,"comedy, romance",vijay chandar,"t.r. silambarasan, hansika motwani, santhanam, vtv ganesh"
vaanathaipola,"drama, musical, romance",vikraman,"vijayakanth, meena, prabhu deva, livingston"
vaaranam aayiram,"drama, musical, romance",gautham vasudev menon,"suriya, simran, ramya, sameera reddy"
vaayai moodi pesavum,"comedy, drama, romance",balaji mohan,"dulquer salmaan, nazriya nazim, madhoo, r. pandiaraajan"
vada chennai,"action, crime",vetrimaaran,"dhanush, ameer sultan, radha ravi, daniel balaji"
vanamagan,"action, adventure",a.l. vijay,"arjun, akhilesh krishna, prakash raj, shanmugha rajan"
varalaaru,"action, drama",k.s. ravikumar,"ajith kumar, asin thottumkal, kaniha, vijayan"
varumayin niram sigappu,drama,k. balachander,"kamal haasan, sridevi, prathap pothen, dilip"
varuthapadatha valibar sangam,"comedy, romance",ponram,"sivakarthikeyan, sathyaraj, sri divya, soori"
vaseegara,"comedy, drama, romance",k. selvabharathi,"joseph vijay, sneha, vadivelu, gayatri jayaraman"
vasoolraja m.b.b.s,"comedy, drama",saran,"kamal haasan, sneha, prabhu, prakash raj"
vasuki,"mystery, thriller",a.k. sajan,"nayanthara, mammootty, sheelu abraham, roshan mathew"
vazhakku enn 18/9,"crime, drama, thriller",balaji sakthivel,"sri, mithun murali, urmila mahanta, manisha yadav"
vedalam,"action, drama",siva,"ajith kumar, shruti haasan, lakshmi menon, soori"
veer - vivegam,"action, thriller",siva,"ajith kumar, vivek oberoi, kajal aggarwal, akshara haasan"
veera,"comedy, romance",suresh krishna,"rajinikanth, meena, roja, charlie"
veeram,action,siva,"ajith kumar, tamannaah bhatia, vidharth, bala"
veerapandiya kattabomman,"biography, drama, history",b. ramakrishnaiah panthulu,"shivaji ganesan, gemini ganesan, padmini, varalakshmi s."
vel,"action, comedy, drama",hari,"suriya, asin thottumkal, vadivelu, kalabhavan mani"
velaiilla pattadhari,"action, comedy, drama",velraj,"dhanush, saranya ponvannan, amala paul, samuthirakani"
velaikkaran,"action, thriller",mohan raja,"sivakarthikeyan, fahadh faasil, nayanthara, prakash raj"
velaiyilla pattathari 2,"action, comedy",soundarya r. ashwin,"riaz ahmed, karrthik ahuja, bhai amma, rj ananthi"
velayudham,action,mohan raja,"joseph vijay, genelia d'souza, hansika motwani, saranya mohan"
vellaiya irukiravan poi solla maatan,comedy,a.l. abanindran,"praveen kumar, naren, pazhani, bala saravanan"
venghai,"action, drama",hari,"dhanush, tamannaah bhatia, raj kiran, prakash raj"
vennila kabadi kuzhu,"drama, sport",suseenthiran,"vishnu vishal, saranya mohan, kishore kumar g., soori"
vetri kodi kattu,comedy,cheran,"murali, parthiban, meena, malavikka"
vetrivel,drama,vasantha mani,"m. sasikumar, mia george, prabhu, viji chandrashekhar"
vettaikaaran,"action, drama",babu sivan,"joseph vijay, anushka shetty, salim ghouse, p. ravi shankar"
vettaiyaadu vilaiyaadu,"action, crime, thriller",gautham vasudev menon,"kamal haasan, jyotika, prakash raj, daniel balaji"
veyyil,drama,vasanthabalan,"pasupathy, bharath srinivasan, bhavana, priyanka nair"
vidiyum munn,thriller,balaji k. kumar,"pooja umashankar, malavika manikuttan, vinoth kishan, lakshmi ramakrishnan"
vikram,"action, adventure, sci-fi",rajasekar,"kamal haasan, sathyaraj, ambika, santhana bharathi"
villain,"action, drama, thriller",k.s. ravikumar,"ajith kumar, neha dhupia, meena, tulip joshi"
villu,"action, thriller",prabhu deva,"joseph vijay, nayanthara, prakash raj, vadivelu"
vinnaithaandi varuvaayaa,"drama, romance",gautham vasudev menon,"t.r. silambarasan, trisha krishnan, vtv ganesh, raja krishnamoorthy"
virumandi,"action, drama, thriller",kamal haasan,"kamal haasan, abhirami, pasupathy, napolean"
visaaranai,"crime, drama, thriller",vetrimaaran,"dinesh, samuthirakani, anandhi, murugadass"
vishwaroopam,"action, thriller",kamal haasan,"pooja kumar, miles anderson, kamal haasan, rahul bose"
vishwaroopam 2,"action, thriller",kamal haasan,"kamal haasan, rahul bose, shekhar kapur, pooja kumar"
viswasam,"action, drama",siva,"ajith kumar, nayanthara, sakshi agarwal, darbha appaji ambarisha"
walter vetrivel,"action, drama",p. vasu,"goundamani, sathyaraj, sukanya, vijayakumar"
yaamirukka bayamey,"comedy, horror",deekay,"krishna sekhar, rupa manjari, karunakaran, oviya"
yaaradi nee mohini,"drama, romance",mithran jawahar,"dhanush, nayanthara, karthik kumar, saranya mohan"
yeidhavan,"action, crime, drama",sakthi rajasekaran,"sandra amy, gautham, kalaiyarasan, krishna kumar"
yennai arindhaal,"action, thriller",gautham vasudev menon,"ajith kumar, arun vijay, trisha krishnan, anushka shetty"
youth,"drama, romance",vincent selva,"joseph vijay, fathima babu, madhan bob, bosskey"
yutham sei,"crime, drama, mystery",myshkin,"cheran, ananyaa shah, y.g. mahendran, lakshmi ramakrishnan"
